Transaction_ID,Date,Time,Amount_INR,User_ID,Sender_UPI_ID,Receiver_UPI_ID,Payment_App,Sender_Bank,Receiver_Bank,Merchant_Category,Transaction_Type,Payment_Status,City,Device_Type,User_Age_Group
TXN0000001,2025-07-01,02:22:37,2376.42,USR03892,user855@google,merchant1070@oksbi,Google Pay,Axis Bank,ICICI Bank,Entertainment,P2M,Success,Mumbai,Android,18-25
TXN0000002,2025-07-01,07:21:10,1579.97,USR01345,user126@paytm,merchant732@okaxis,Paytm,Punjab National Bank,HDFC Bank,Utilities & Bill Payments,P2M,Success,Varanasi,Android,36-45
TXN0000003,2025-07-01,08:16:25,746.92,USR03086,user2164@google,merchant139@okicici,Google Pay,ICICI Bank,Axis Bank,Healthcare,P2M,Success,Hyderabad,Android,26-35
TXN0000004,2025-07-01,08:17:37,3535.16,USR01725,user2084@phonep,merchant152@ybl,PhonePe,Bank of Baroda,Union Bank of India,Shopping,P2M,Success,Guwahati,iOS,18-25
TXN0000005,2025-07-01,08:58:25,5183.71,USR02085,user1574@google,merchant967@okaxis,Google Pay,Bank of Baroda,Union Bank of India,Shopping,P2M,Success,Ahmedabad,Android,36-45
TXN0000006,2025-07-01,09:04:06,3150.08,USR00421,user1413@google,user3068@google,Google Pay,Kotak Mahindra Bank,HDFC Bank,P2P Transfer,P2P,Success,Nashik,Android,18-25
TXN0000007,2025-07-01,09:17:09,4115.94,USR03395,user3645@google,merchant133@okaxis,Google Pay,SBI,IDFC First Bank,Healthcare,P2M,Failed,Delhi,Android,26-35
TXN0000008,2025-07-01,10:34:23,15577.16,USR03031,user2763@google,user2820@google,Google Pay,ICICI Bank,Axis Bank,P2P Transfer,P2P,Success,Mumbai,iOS,26-35
TXN0000009,2025-07-01,10:46:03,7100.31,USR02037,user3593@google,user1814@google,Google Pay,SBI,Union Bank of India,P2P Transfer,P2P,Success,Chennai,Android,26-35
TXN0000010,2025-07-01,11:38:09,10000.0,USR02285,user2944@paytm,merchant1461@okaxis,Paytm,Kotak Mahindra Bank,SBI,Healthcare,P2M,Success,Mumbai,Android,46-55
TXN0000011,2025-07-01,13:06:13,662.68,USR00559,user2945@google,merchant607@oksbi,Google Pay,Union Bank of India,SBI,Food & Dining,P2M,Success,Jaipur,Android,36-45
TXN0000012,2025-07-01,13:16:05,7405.2,USR00042,user3418@phonep,user2021@phonep,PhonePe,HDFC Bank,SBI,P2P Transfer,P2P,Success,Delhi,Android,18-25
TXN0000013,2025-07-01,13:17:07,1274.17,USR01838,user3642@google,merchant796@paytm,Google Pay,Bank of Baroda,Punjab National Bank,Food & Dining,P2M,Success,Ahmedabad,Android,56+
TXN0000014,2025-07-01,13:22:27,1128.91,USR03134,user24@paytm,merchant1081@okicici,Paytm,IDFC First Bank,Axis Bank,Utilities & Bill Payments,P2M,Success,Pune,Android,18-25
TXN0000015,2025-07-01,13:40:54,513.75,USR01569,user2671@google,merchant1170@paytm,Google Pay,HDFC Bank,SBI,Grocery,P2M,Success,Bengaluru,iOS,18-25
TXN0000016,2025-07-01,13:43:37,2580.27,USR02524,user3421@google,merchant1114@paytm,Google Pay,ICICI Bank,IDFC First Bank,Grocery,P2M,Success,Delhi,Android,36-45
TXN0000017,2025-07-01,14:13:27,487.81,USR02639,user3513@phonep,merchant523@oksbi,PhonePe,SBI,Axis Bank,Recharge,P2M,Pending,Kolkata,Android,46-55
TXN0000018,2025-07-01,17:46:32,15000.0,USR00536,user2651@phonep,merchant551@okicici,PhonePe,Axis Bank,Axis Bank,Shopping,P2M,Success,Delhi,Android,18-25
TXN0000019,2025-07-01,19:17:35,2500.0,USR02727,user3056@google,merchant1396@okicici,Google Pay,Kotak Mahindra Bank,Union Bank of India,Entertainment,P2M,Success,Coimbatore,Android,36-45
TXN0000020,2025-07-01,20:27:56,5460.58,USR01853,user815@phonep,user1173@phonep,PhonePe,SBI,Canara Bank,P2P Transfer,P2P,Success,Madurai,Android,18-25
TXN0000021,2025-07-01,20:43:30,803.74,USR00711,user1315@amazon,merchant941@paytm,Amazon Pay,Canara Bank,Bank of Baroda,Recharge,P2M,Success,Bengaluru,Android,46-55
TXN0000022,2025-07-01,21:01:35,9238.87,USR00282,user615@phonep,user2250@phonep,PhonePe,Punjab National Bank,ICICI Bank,P2P Transfer,P2P,Success,Chennai,Android,18-25
TXN0000023,2025-07-01,21:08:59,13103.82,USR02295,user3973@google,user1547@google,Google Pay,Union Bank of India,IDFC First Bank,P2P Transfer,P2P,Success,Lucknow,Android,46-55
TXN0000024,2025-07-01,21:15:48,2426.11,USR03610,user3346@phonep,merchant164@paytm,PhonePe,ICICI Bank,SBI,Fuel,P2M,Success,Lucknow,Android,36-45
TXN0000025,2025-07-01,21:32:37,2003.38,USR02129,user3392@phonep,merchant487@okaxis,PhonePe,Axis Bank,Bank of Baroda,Grocery,P2M,Success,Nagpur,Android,26-35
TXN0000026,2025-07-01,21:37:48,4540.47,USR00153,user1080@paytm,merchant1186@oksbi,Paytm,SBI,Kotak Mahindra Bank,Travel & Transport,P2M,Success,Kolkata,Android,26-35
TXN0000027,2025-07-01,21:41:28,6582.83,USR01008,user1042@google,user1024@google,Google Pay,Canara Bank,HDFC Bank,P2P Transfer,P2P,Success,Hyderabad,Android,26-35
TXN0000028,2025-07-01,22:44:50,1241.75,USR03513,user3784@paytm,merchant608@paytm,Paytm,Bank of Baroda,Axis Bank,Food & Dining,P2M,Success,Indore,Android,36-45
TXN0000029,2025-07-01,22:49:26,466.1,USR00562,user1277@phonep,merchant725@okicici,PhonePe,Kotak Mahindra Bank,HDFC Bank,Utilities & Bill Payments,P2M,Success,Bhopal,Android,26-35
